cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3162500,2,3,2332731,162838,1,22,2,4,2,2,2,1,3,,,,8,3,1,1,,2,4,1133,1,12,13596,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333077,163543,1,21,3,1,1,2,2,1,3,,,,8,3,1,1,,2,4,918,1,12,11016,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334198,163966,2,3,3,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333212,166378,1,6,3,1,1,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1378821,166576,2,46,1,1,1,1,2,1,3,,,,4,4,1,1,,2,4,937,1,12,11244,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333872,170823,2,41,1,1,1,2,2,1,3,,,,4,4,1,1,,2,1,500,1,7,3500,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332963,173975,1,19,10,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1543241,177436,2,47,1,1,1,2,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333816,177875,2,20,9,1,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333941,177881,2,3,3,4,1,1,2,2,1,1,3,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
